tempo_s,x,y,z
2025-04-24T19:58:55.556635,-0.0016,0.1485,0.9807
2025-04-24T19:58:55.608576,0.0144,0.1568,0.9782
2025-04-24T19:58:55.658022,0.0142,0.1557,0.9839
2025-04-24T19:58:55.711437,0.0004,0.1522,0.9907
2025-04-24T19:58:55.756402,0.0142,0.1593,0.9907
2025-04-24T19:58:55.812369,0.013,0.1596,0.9938
2025-04-24T19:58:55.858307,0.0012,0.1552,0.9973
2025-04-24T19:58:55.916724,0.0138,0.1592,0.9908
2025-04-24T19:58:55.960396,0.0112,0.1567,0.9896
2025-04-24T19:58:56.015533,0.0014,0.1536,0.988
2025-04-24T19:58:56.062109,0.0142,0.1575,0.9812
2025-04-24T19:58:56.116894,0.0113,0.1546,0.9829
2025-04-24T19:58:56.164293,0.0039,0.1523,0.9857
2025-04-24T19:58:56.222091,0.0138,0.1571,0.9838
2025-04-24T19:58:56.266442,0.0092,0.1557,0.9884
2025-04-24T19:58:56.322755,0.0044,0.1534,0.9918
2025-04-24T19:58:56.368181,0.0142,0.1582,0.9916
2025-04-24T19:58:56.424647,0.0095,0.1557,0.9909
2025-04-24T19:58:56.481165,0.0053,0.1548,0.9915
2025-04-24T19:58:56.525207,0.0139,0.1569,0.9871
2025-04-24T19:58:56.572337,0.0091,0.1552,0.9861
2025-04-24T19:58:56.631712,0.0057,0.1535,0.9865
2025-04-24T19:58:56.674377,0.0141,0.1563,0.9834
2025-04-24T19:58:56.731661,0.0091,0.1539,0.9847
2025-04-24T19:58:56.776468,0.0054,0.1551,0.9869
2025-04-24T19:58:56.836756,0.0126,0.1577,0.9854
2025-04-24T19:58:56.878320,0.0091,0.1547,0.9898
2025-04-24T19:58:56.938061,0.0063,0.1551,0.9911
2025-04-24T19:58:56.985364,0.0122,0.1582,0.989
2025-04-24T19:58:57.031992,0.0075,0.1555,0.9899
2025-04-24T19:58:57.083645,0.0079,0.155,0.9898
2025-04-24T19:58:57.133367,0.0126,0.1563,0.9863
2025-04-24T19:58:57.184413,0.0078,0.1554,0.9876
2025-04-24T19:58:57.235640,0.008,0.1555,0.9867
2025-04-24T19:58:57.287156,0.0124,0.1554,0.9853
2025-04-24T19:58:57.357506,0.0079,0.1545,0.9878
2025-04-24T19:58:57.390461,0.0078,0.1558,0.988
2025-04-24T19:58:57.440268,0.0112,0.1571,0.9866
2025-04-24T19:58:57.494588,0.0071,0.1555,0.9899
2025-04-24T19:58:57.541385,0.0097,0.1554,0.9899
2025-04-24T19:58:57.598035,0.011,0.1566,0.99
2025-04-24T19:58:57.644275,0.0068,0.1545,0.9884
2025-04-24T19:58:57.694746,0.0106,0.1565,0.9875
2025-04-24T19:58:57.745236,0.0106,0.1546,0.9868
2025-04-24T19:58:57.796247,0.008,0.1542,0.9878
2025-04-24T19:58:57.847371,0.0098,0.1555,0.9867
2025-04-24T19:58:57.899686,0.0099,0.155,0.9861
2025-04-24T19:58:57.949783,0.0087,0.1557,0.9866
2025-04-24T19:58:58.000319,0.0096,0.1569,0.9887
2025-04-24T19:58:58.051256,0.0088,0.1563,0.9888
2025-04-24T19:58:58.102246,0.0087,0.1543,0.9882
2025-04-24T19:58:58.154887,0.0113,0.1549,0.9878
2025-04-24T19:58:58.207134,0.0086,0.1558,0.9871
2025-04-24T19:58:58.255491,0.0072,0.1557,0.9885
2025-04-24T19:58:58.306300,0.0111,0.1564,0.9886
2025-04-24T19:58:58.357423,0.0091,0.1549,0.9881
2025-04-24T19:58:58.409040,0.0088,0.1546,0.9885
2025-04-24T19:58:58.459236,0.0105,0.1564,0.9879
2025-04-24T19:58:58.510605,0.0087,0.1545,0.9871
